name,online_order,book_table,rate,votes,location,approx_cost(for two people),listed_in(type),listed_in(city)
"Swadista Aahar","Yes","No",4.1,783,"BTM",300,"Delivery","BTM"
"New Mahesh Friends Food Corner","Yes","No",3.3,48,"BTM",300,"Delivery","BTM"
"Paratha Junction","Yes","No",2.9,177,"BTM",300,"Delivery","BTM"
"The Biriyani Pedia","Yes","No",3.9,56,"BTM",300,"Delivery","BTM"
"Krishna Sagar","Yes","No",3.9,52,"BTM",300,"Delivery","BTM"
"Mahesh Friends Food Center","Yes","No",2.9,127,"BTM",300,"Delivery","BTM"
"Nammura Donne Biriyani","Yes","No",3.6,68,"BTM",300,"Delivery","BTM"
"RB Food Point","Yes","No",3.7,31,"BTM",300,"Delivery","BTM"
"Indiana Burgers","Yes","No",3.4,23,"BTM",300,"Delivery","BTM"
"Kairali","Yes","No",3.9,170,"BTM",300,"Delivery","BTM"
"The Bong Palate","Yes","No",3.8,60,"BTM",300,"Delivery","BTM"
"Awesome Foods","Yes","No",3.7,23,"BTM",300,"Delivery","BTM"
"Manchu Cafe","Yes","No",3.8,22,"BTM",300,"Delivery","BTM"
"Nanna Munna Paratha House","Yes","No",4,108,"BTM",300,"Delivery","BTM"
"Cafe Alchemist","Yes","No",3.8,61,"BTM",300,"Delivery","BTM"
"Biryani Magic","Yes","No",3.5,31,"BTM",300,"Delivery","BTM"
"Easy Bites","Yes","No",4.1,74,"BTM",300,"Delivery","BTM"
"Roti Wala","Yes","No",4,199,"BTM",300,"Delivery","BTM"
"Speedbreaker","Yes","No",3.4,14,"BTM",300,"Delivery","BTM"
"RK Fresh Food","Yes","No",3.5,13,"BTM",300,"Delivery","BTM"
"Dessi Cuppa","Yes","No",3.4,5,"BTM",300,"Delivery","BTM"
"Fillers","Yes","No",3.9,138,"BTM",300,"Delivery","BTM"
"Indori Chatorey","Yes","No",2.8,138,"BTM",300,"Delivery","BTM"
"Litti Twist","Yes","No",4.2,465,"BTM",300,"Delivery","BTM"
"Paratha Plaza","Yes","No",3,96,"BTM",300,"Delivery","BTM"
"Sri Nandi Grand","Yes","No",3.4,6,"BTM",300,"Delivery","BTM"
"Jose's Mess","No","No",4.3,315,"BTM",300,"Delivery","BTM"
"Ammus Hot N Cool","Yes","No",3.4,84,"BTM",300,"Delivery","BTM"
"Chicken Magic","Yes","No",3.7,209,"BTM",300,"Delivery","BTM"
"Aramane Donne Biriyani","Yes","No",3.9,191,"BTM",300,"Delivery","BTM"
"New South Corner","Yes","No",3.7,20,"BTM",300,"Delivery","BTM"
"The Hungers Zone","Yes","No",3.8,57,"BTM",300,"Delivery","BTM"
"King Punjabi Restaurant","No","No",3.8,52,"BTM",300,"Delivery","BTM"
"Thottathil Restaurant","No","No",3.8,69,"BTM",300,"Delivery","BTM"
"RSS Donne Biryani","Yes","No",3.3,59,"BTM",300,"Delivery","BTM"
"Chatter Platter","Yes","No",3.4,29,"BTM",300,"Delivery","BTM"
"Yum In My Tum","Yes","No",4.1,99,"BTM",300,"Delivery","BTM"
"Swaadam Veg","Yes","No",3.6,34,"BTM",300,"Delivery","BTM"
"Yummerica Fries","No","No",3.3,16,"BTM",300,"Delivery","BTM"
"The Cuboidal","Yes","No",3.6,16,"BTM",300,"Delivery","BTM"
"Tarbouche","Yes","No",3.8,12,"BTM",300,"Delivery","BTM"
"Waffle Head","Yes","No",4,36,"BTM",300,"Delivery","BTM"
"Arabian Bites","Yes","No",3.4,24,"BTM",300,"Delivery","BTM"
"Appana Restaurant","Yes","No",3.5,11,"BTM",300,"Delivery","BTM"
"Bisimillah Biriyani","No","No",3.5,11,"BTM",300,"Delivery","BTM"
"Spurthi Foods","Yes","No",3.7,70,"BTM",300,"Delivery","BTM"
"The Arabian Nights","Yes","No",2.6,51,"BTM",300,"Delivery","BTM"
"Bisimillah Biriyani's & Kebab's","No","No",3.3,6,"BTM",300,"Delivery","BTM"
"Vyanjan","Yes","No",3.9,201,"BTM",300,"Delivery","BTM"
